ticker,cik,company,sic_code,sic_description,target_sector
PG,80424,PROCTER & GAMBLE Co,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",Manufacturing
KLAC,319201,KLA CORP,3827,Optical Instruments & Lenses,Manufacturing
LIN,1707925,LINDE PLC,2810,Industrial Inorganic Chemicals,Manufacturing
TMO,97745,THERMO FISHER SCIENTIFIC INC.,3829,"Measuring & Controlling Devices, NEC",Manufacturing
GLW,24741,CORNING INC /NY,3357,Drawing & Insulating of  Nonferrous Wire,Manufacturing
DHR,313616,DANAHER CORP /DE/,3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
UL,217410,UNILEVER PLC,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",Manufacturing
PH,76334,Parker-Hannifin Corp,3490,Miscellaneous Fabricated Metal Products,Manufacturing
HWM,4281,Howmet Aerospace Inc.,3350,Rolling Drawing & Extruding of  Nonferrous Metals,Manufacturing
TT,1466258,Trane Technologies plc,3822,Auto Controls For Regulating Residential & Comml Environments,Manufacturing
ECL,31462,ECOLAB INC.,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",Manufacturing
NOC,1133421,NORTHROP GRUMMAN CORP /DE/,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing
CL,21665,COLGATE PALMOLIVE CO,2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
CRH,849395,CRH PUBLIC LTD CO,3241,"Cement, Hydraulic",Manufacturing
APD,2969,"Air Products & Chemicals, Inc.",2810,Industrial Inorganic Chemicals,Manufacturing
NKE,320187,"NIKE, Inc.",3021,Rubber & Plastics Footwear,Manufacturing
COHR,820318,COHERENT CORP.,3827,Optical Instruments & Lenses,Manufacturing
TER,97210,"TERADYNE, INC",3825,Instruments For Meas & Testing of  Electricity & Elec Signals,Manufacturing
KEYS,1601046,"Keysight Technologies, Inc.",3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
LHX,202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing
AME,1037868,AMETEK INC/,3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
ROK,1024478,"ROCKWELL AUTOMATION, INC",3829,"Measuring & Controlling Devices, NEC",Manufacturing
NUE,73309,NUCOR CORP,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",Manufacturing
MT,1243429,ArcelorMittal,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",Manufacturing
GRMN,1121788,GARMIN LTD,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing
AXON,1069183,"AXON ENTERPRISE, INC.",3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",Manufacturing
HLN,1900304,Haleon plc,2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
TRI,1075124,THOMSON REUTERS CORP /CAN/,2741,Miscellaneous Publishing,Manufacturing
