company,ticker,cik,period_end,cash,current_assets,total_assets,inventory,receivables,current_liabilities,total_liabilities,equity,working_capital,current_ratio,debt_to_equity,debt_to_assets,cash_ratio
Apple Inc.,AAPL,320193,9/29/2007,9352000000,,,,,,,,,,,,
Apple Inc.,AAPL,320193,6/28/2008,9373000000,,,,,,,,,,,,
Apple Inc.,AAPL,320193,9/27/2008,11875000000,32311000000,39572000000,509000000,2422000000,14092000000,18542000000,21030000000,18219000000,2.292861198,0.88169282,0.468563631,0.842676696
Apple Inc.,AAPL,320193,12/27/2008,7236000000,,,,,,,,,,,,
Apple Inc.,AAPL,320193,3/28/2009,4466000000,,,,,,,,,,,,
Apple Inc.,AAPL,320193,6/27/2009,5605000000,35170000000,48140000000,380000000,2686000000,16661000000,22252000000,25888000000,18509000000,2.110917712,0.859548826,0.462235147,0.336414381
Apple Inc.,AAPL,320193,9/26/2009,5263000000,31555000000,47501000000,455000000,3361000000,11506000000,15861000000,31640000000,20049000000,2.742482183,0.501295828,0.33390876,0.457413523
Apple Inc.,AAPL,320193,12/26/2009,7609000000,33332000000,53926000000,576000000,3090000000,13097000000,18158000000,35768000000,20235000000,2.545010308,0.507660479,0.336720691,0.580972742
Apple Inc.,AAPL,320193,3/27/2010,10018000000,32336000000,57057000000,638000000,2886000000,12229000000,17709000000,39348000000,20107000000,2.644206395,0.450060994,0.310373837,0.819200262
Apple Inc.,AAPL,320193,6/26/2010,9705000000,36033000000,64725000000,942000000,3447000000,15612000000,21614000000,43111000000,20421000000,2.308032283,0.501356962,0.333935883,0.621637202
Apple Inc.,AAPL,320193,9/25/2010,11261000000,41678000000,75183000000,1051000000,5510000000,20722000000,27392000000,47791000000,20956000000,2.011292346,0.573162311,0.364337683,0.543432101
Apple Inc.,AAPL,320193,12/25/2010,10734000000,43927000000,86742000000,885000000,6027000000,23795000000,32076000000,54666000000,20132000000,1.846060097,0.586763253,0.369786263,0.451103173
Apple Inc.,AAPL,320193,3/26/2011,15978000000,46997000000,94904000000,930000000,5798000000,24327000000,33427000000,61477000000,22670000000,1.931886381,0.543731802,0.352219085,0.656801085
Apple Inc.,AAPL,320193,6/25/2011,12091000000,46898000000,1.06758E+11,889000000,6102000000,26859000000,37415000000,69343000000,20039000000,1.746081388,0.539564195,0.350465539,0.45016568
Apple Inc.,AAPL,320193,9/24/2011,9815000000,44988000000,1.16371E+11,776000000,5369000000,27970000000,39756000000,76615000000,17018000000,1.608437612,0.518906219,0.341631506,0.350911691
Apple Inc.,AAPL,320193,12/31/2011,10310000000,54771000000,1.38681E+11,1236000000,8930000000,34607000000,48627000000,90054000000,20164000000,1.582656688,0.539976014,0.350639237,0.297916606
Apple Inc.,AAPL,320193,3/31/2012,10121000000,50712000000,1.50934E+11,1102000000,7042000000,32036000000,48436000000,1.02498E+11,18676000000,1.58296916,0.472555562,0.320908477,0.315925833
Apple Inc.,AAPL,320193,6/30/2012,7945000000,51943000000,1.62896E+11,1122000000,7657000000,33060000000,51150000000,1.11746E+11,18883000000,1.571173624,0.457734505,0.314004027,0.240320629
Apple Inc.,AAPL,320193,9/29/2012,10746000000,57653000000,1.76064E+11,791000000,10930000000,38542000000,57854000000,1.1821E+11,19111000000,1.495848685,0.489417139,0.328596419,0.278812724
Apple Inc.,AAPL,320193,12/29/2012,16154000000,72348000000,1.96088E+11,1455000000,11598000000,46879000000,68742000000,1.27346E+11,25469000000,1.543292306,0.539804941,0.350567092,0.344589262
Apple Inc.,AAPL,320193,3/30/2013,12053000000,63337000000,1.94743E+11,1245000000,7084000000,35508000000,59253000000,1.3549E+11,27829000000,1.783738876,0.437323788,0.304262541,0.339444632
Apple Inc.,AAPL,320193,6/29/2013,11248000000,68219000000,1.99856E+11,1697000000,8839000000,36319000000,76502000000,1.23354E+11,31900000000,1.878328148,0.620182564,0.382785606,0.309700157
Apple Inc.,AAPL,320193,9/28/2013,14259000000,73286000000,2.07E+11,1764000000,13102000000,43658000000,83451000000,1.23549E+11,29628000000,1.678638508,0.675448607,0.403144928,0.326606807
Apple Inc.,AAPL,320193,12/28/2013,14077000000,80347000000,2.25184E+11,2122000000,14200000000,53769000000,95500000000,1.29684E+11,26578000000,1.494299689,0.736405416,0.424097627,0.261805129
Apple Inc.,AAPL,320193,3/29/2014,18949000000,70541000000,2.05989E+11,1829000000,9700000000,43208000000,85810000000,1.20179E+11,27333000000,1.632591187,0.714018256,0.416575642,0.438553046
Apple Inc.,AAPL,320193,6/28/2014,12977000000,67949000000,2.2252E+11,1594000000,10788000000,46205000000,1.0158E+11,1.2094E+11,21744000000,1.47059842,0.839920622,0.456498292,0.28085705
Apple Inc.,AAPL,320193,9/27/2014,13844000000,68531000000,2.31839E+11,2111000000,17460000000,63448000000,1.20292E+11,1.11547E+11,5083000000,1.080112848,1.078397447,0.518860071,0.218194427
Apple Inc.,AAPL,320193,12/27/2014,19478000000,83403000000,2.61894E+11,2283000000,16709000000,73611000000,1.38566E+11,1.23328E+11,9792000000,1.133023597,1.123556694,0.529091923,0.264607192
Apple Inc.,AAPL,320193,3/28/2015,14489000000,67891000000,2.61194E+11,2396000000,10905000000,58729000000,1.32188E+11,1.29006E+11,9162000000,1.1560047,1.024665519,0.506091258,0.246709462
Apple Inc.,AAPL,320193,6/27/2015,15319000000,70953000000,2.73151E+11,2042000000,10370000000,65285000000,1.47474E+11,1.25677E+11,5668000000,1.086819331,1.173436667,0.539899177,0.234648081
Apple Inc.,AAPL,320193,9/26/2015,21120000000,89378000000,2.90479E+11,2349000000,16849000000,80610000000,1.71124E+11,1.19355E+11,8768000000,1.108770624,1.433739684,0.589109712,0.262002233
Apple Inc.,AAPL,320193,12/26/2015,16689000000,76219000000,2.93284E+11,2451000000,12953000000,76092000000,1.65017E+11,1.28267E+11,127000000,1.001669032,1.286511729,0.562652582,0.219326605
Apple Inc.,AAPL,320193,3/26/2016,21514000000,87592000000,3.05277E+11,2281000000,12229000000,68265000000,1.7482E+11,1.30457E+11,19327000000,1.283117264,1.34005841,0.57266024,0.315154179
Apple Inc.,AAPL,320193,6/25/2016,18237000000,93761000000,3.05602E+11,1831000000,11714000000,71486000000,1.79061E+11,1.26541E+11,22275000000,1.311599474,1.415043346,0.585928757,0.255112889
Apple Inc.,AAPL,320193,9/24/2016,20484000000,1.06869E+11,3.21686E+11,2132000000,15754000000,79006000000,1.93437E+11,1.28249E+11,27863000000,1.352669418,1.508292462,0.601322408,0.259271448
Apple Inc.,AAPL,320193,12/31/2016,16371000000,1.03332E+11,3.31141E+11,2712000000,14057000000,84130000000,1.98751E+11,1.3239E+11,19202000000,1.228242006,1.501253871,0.600200519,0.194591703
Apple Inc.,AAPL,320193,4/1/2017,15157000000,1.0199E+11,3.34532E+11,2910000000,11579000000,73342000000,2.0045E+11,1.34082E+11,28648000000,1.390608383,1.494980683,0.599195294,0.20666194
